,分词,分词索引化
46,"['淮河', '能源', '集团股份', '有限公司', '第七届', '监事会', '第十次', '会议', '决议']","[27355, 3856, 163991, 11426, 0, 122159, 0, 3764, 17912]"
47,"['淮南', '矿业集团', '有限责任', '公司']","[29881, 0, 148363, 225]"
48,"['淮河', '能源', '集团股份', '有限公司', '披露', '重组', '报告书', '暨', '风险', '提示性']","[27355, 3856, 163991, 11426, 14061, 15734, 80574, 40297, 1361, 186770]"
49,"['淮河', '能源', '集团股份', '有限公司', '第七届', '董事会', '第九次', '会议', '决议']","[27355, 3856, 163991, 11426, 0, 22872, 0, 3764, 17912]"
50,"['淮河', '能源', '集团股份', '有限公司', '吸收', '合并', '淮南', '矿业集团', '有限责任', '公司', '暨', '关联', '交易', '报告书', '草案']","[27355, 3856, 163991, 11426, 3218, 6686, 29881, 0, 148363, 225, 40297, 6328, 2175, 80574, 34782]"
51,"['淮河', '能源', '集团股份', '有限公司', '董事会', '评估', '机构', '独立性', '评估', '假设', '前提', '合理性', '评估', '方法', '评估', '目的', '相关性', '评估', '定价', '公允', '性', '说明']","[27355, 3856, 163991, 11426, 22872, 5808, 1712, 20641, 5808, 2505, 2513, 13654, 5808, 353, 5808, 969, 16940, 5808, 7943, 43398, 725, 778]"
52,"['淮河', '能源', '集团股份', '有限公司', '董事会', '本次', '交易', '符合']","[27355, 3856, 163991, 11426, 22872, 10165, 2175, 1371]"
53,"['鄂尔多斯市', '华兴', '能源', '有限责任', '公司', '唐家会', '煤矿', '采矿权', '评估', '报告']","[200211, 135851, 3856, 148363, 225, 0, 15280, 227267, 5808, 1950]"
54,"['淮河', '能源', '集团股份', '有限公司', '独立', '董事', '公司', '第七届', '董事会', '第九次', '会议', '审议', '相关', '事项', '独立', '意见']","[27355, 3856, 163991, 11426, 988, 25899, 225, 0, 22872, 0, 3764, 60406, 530, 15891, 988, 2497]"
55,"['淮南', '矿业集团', '有限责任', '公司', '潘二', '煤矿', '采矿权', '评估', '报告']","[29881, 0, 148363, 225, 0, 15280, 227267, 5808, 1950]"
56,"['淮南', '矿业集团', '有限责任', '公司', '张集', '煤矿', '采矿权', '评估', '报告']","[29881, 0, 148363, 225, 142400, 15280, 227267, 5808, 1950]"
57,"['淮河', '能源', '集团股份', '有限公司', '吸收', '合并', '淮南', '矿业集团', '有限责任', '公司', '暨', '关联', '交易', '报告书', '草案', '预案', '差异', '情况', '对比', '表']","[27355, 3856, 163991, 11426, 3218, 6686, 29881, 0, 148363, 225, 40297, 6328, 2175, 80574, 34782, 25818, 2644, 394, 1438, 2065]"
58,"['中信证券', '股份', '有限公司', '淮河', '能源', '集团股份', '有限公司', '股票价格', '波动', '核查', '意见']","[99190, 11068, 11426, 27355, 3856, 163991, 11426, 68177, 5639, 41698, 2497]"
59,"['中信证券', '股份', '有限公司', '淮河', '能源', '集团股份', '有限公司', '吸收', '合并', '淮南', '矿业集团', '有限责任', '公司', '暨', '关联', '交易', '产业政策', '交易类型', '专项', '核查', '意见']","[99190, 11068, 11426, 27355, 3856, 163991, 11426, 3218, 6686, 29881, 0, 148363, 225, 40297, 6328, 2175, 102755, 0, 16977, 41698, 2497]"
60,"['中信证券', '股份', '有限公司', '淮河', '能源', '集团股份', '有限公司', '即期', '回报', '摊薄', '情况', '预计', '合理性', '填补', '即期', '回报', '措施', '相关', '承诺', '核查', '意见']","[99190, 11068, 11426, 27355, 3856, 163991, 11426, 124573, 3486, 76712, 394, 7148, 13654, 11963, 124573, 3486, 4417, 530, 4438, 41698, 2497]"
61,"['中信证券', '股份', '有限公司', '淮河', '能源', '集团股份', '有限公司', '本次', '重组', '不', '构成', '重组', '上市', '核查', '意见']","[99190, 11068, 11426, 27355, 3856, 163991, 11426, 10165, 15734, 10, 2791, 15734, 4775, 41698, 2497]"
62,"['中信证券', '股份', '有限公司', '公司', '内幕', '信息', '知情人', '登记', '制度', '制定', '执行', '情况', '核查', '意见']","[99190, 11068, 11426, 225, 15493, 590, 56936, 8633, 1414, 3104, 1840, 394, 41698, 2497]"
63,"['中信证券', '股份', '有限公司', '淮河', '能源', '集团股份', '有限公司', '本次', '重组', '前个', '月', '内', '购买', '出售', '资产', '核查', '意见']","[99190, 11068, 11426, 27355, 3856, 163991, 11426, 10165, 15734, 173610, 161, 457, 1663, 7918, 2837, 41698, 2497]"
64,"['中信证券', '股份', '有限公司', '担任', '淮河', '能源', '集团股份', '有限公司', '重大', '资产重组', '独立', '财务顾问', '承诺函']","[99190, 11068, 11426, 3825, 27355, 3856, 163991, 11426, 3163, 168392, 988, 132415, 0]"
